data;
set WEIGHTS := x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 x38 x39 x40 x41;
param:  cost :=
  x0  867
  x1  424
  x2  495
  x3  858
  x4  253
  x5  663
  x6  945
  x7  792
  x8  494
  x9  827
  x10  890
  x11  738
  x12  897
  x13  171
  x14  166
  x15  585
  x16  370
  x17  223
  x18  372
  x19  458
  x20  959
  x21  14
  x22  206
  x23  925
  x24  170
  x25  913
  x26  358
  x27  938
  x28  563
  x29  730
  x30  281
  x31  29
  x32  297
  x33  833
  x34  494
  x35  475
  x36  608
  x37  178
  x38  359
  x39  64
  x40  323
  x41  660;
param cap := 10500;
