data;
set WEIGHTS := x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 x38 x39 x40 x41 x42 x43;
param:  cost :=
  x0  11
  x1  736
  x2  716
  x3  543
  x4  969
  x5  563
  x6  999
  x7  671
  x8  365
  x9  342
  x10  83
  x11  483
  x12  931
  x13  934
  x14  342
  x15  483
  x16  577
  x17  46
  x18  650
  x19  974
  x20  753
  x21  573
  x22  209
  x23  485
  x24  773
  x25  241
  x26  721
  x27  258
  x28  59
  x29  522
  x30  54
  x31  869
  x32  456
  x33  54
  x34  825
  x35  678
  x36  149
  x37  358
  x38  369
  x39  179
  x40  530
  x41  342
  x42  288
  x43  327;
param cap := 11000;
