data;
set WEIGHTS := x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 x38 x39 x40 x41 x42 x43 x44 x45 x46 x47 x48 x49;
param:  cost :=
  x0  574
  x1  285
  x2  846
  x3  216
  x4  165
  x5  977
  x6  347
  x7  125
  x8  108
  x9  954
  x10  911
  x11  36
  x12  133
  x13  757
  x14  323
  x15  678
  x16  554
  x17  770
  x18  495
  x19  49
  x20  831
  x21  283
  x22  632
  x23  530
  x24  635
  x25  624
  x26  684
  x27  41
  x28  685
  x29  775
  x30  970
  x31  367
  x32  571
  x33  646
  x34  355
  x35  954
  x36  828
  x37  526
  x38  319
  x39  641
  x40  744
  x41  339
  x42  793
  x43  934
  x44  649
  x45  978
  x46  209
  x47  336
  x48  131
  x49  676;
param cap := 12500;
