data;
set WEIGHTS := x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25;
param:  cost :=
  x0  580316
  x1  474192
  x2  829509
  x3  642511
  x4  597273
  x5  219327
  x6  701494
  x7  733150
  x8  355181
  x9  625778
  x10  509617
  x11  178798
  x12  766505
  x13  865832
  x14  726626
  x15  441980
  x16  712332
  x17  149909
  x18  795261
  x19  135765
  x20  572151
  x21  531441
  x22  675043
  x23  706607
  x24  977174
  x25  687222;
param cap := 6500000;
