data;
set WEIGHTS := x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27;
param:  cost :=
  x0  363277
  x1  348122
  x2  249340
  x3  778432
  x4  103095
  x5  388961
  x6  985968
  x7  186438
  x8  163997
  x9  657457
  x10  2722
  x11  314919
  x12  384436
  x13  271180
  x14  687292
  x15  274226
  x16  510359
  x17  770388
  x18  332832
  x19  152248
  x20  44884
  x21  371310
  x22  499780
  x23  392100
  x24  910168
  x25  462148
  x26  638186
  x27  284460;
param cap := 7000000;
