data;
set WEIGHTS := x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29;
param:  cost :=
  x0  282345
  x1  881155
  x2  937220
  x3  470965
  x4  22583
  x5  336118
  x6  313228
  x7  647317
  x8  895458
  x9  104636
  x10  43286
  x11  302928
  x12  858875
  x13  531189
  x14  759139
  x15  66060
  x16  569510
  x17  984180
  x18  947317
  x19  859416
  x20  74255
  x21  877094
  x22  81383
  x23  910547
  x24  914886
  x25  102473
  x26  377974
  x27  837422
  x28  223800
  x29  886669;
param cap := 7500000;
