data;
set WEIGHTS := x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35;
param:  cost :=
  x0  326571
  x1  610205
  x2  588568
  x3  320325
  x4  842576
  x5  529324
  x6  428382
  x7  1132
  x8  445352
  x9  299987
  x10  397095
  x11  984228
  x12  474474
  x13  656157
  x14  944877
  x15  838110
  x16  895935
  x17  243915
  x18  541680
  x19  436623
  x20  498821
  x21  970748
  x22  771277
  x23  139741
  x24  369464
  x25  236195
  x26  746908
  x27  396735
  x28  68488
  x29  290136
  x30  763310
  x31  372232
  x32  546757
  x33  833510
  x34  702748
  x35  768091;
param cap := 9000000;
