data;
set WEIGHTS := x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 x38 x39;
param:  cost :=
  x0  763769
  x1  916787
  x2  338714
  x3  739461
  x4  602094
  x5  724226
  x6  207669
  x7  899427
  x8  406542
  x9  192035
  x10  736937
  x11  322842
  x12  920236
  x13  402857
  x14  172052
  x15  142336
  x16  41325
  x17  321102
  x18  84589
  x19  99747
  x20  918291
  x21  398058
  x22  33302
  x23  274183
  x24  438220
  x25  29324
  x26  84345
  x27  356737
  x28  762844
  x29  717835
  x30  501991
  x31  462203
  x32  180188
  x33  284564
  x34  173547
  x35  110919
  x36  309987
  x37  716451
  x38  300441
  x39  647340;
param cap := 10000000;
