data;
set WEIGHTS := x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 x38 x39 x40 x41 x42 x43 x44 x45;
param:  cost :=
  x0  372227
  x1  767370
  x2  722779
  x3  206777
  x4  148478
  x5  409799
  x6  137416
  x7  798191
  x8  738299
  x9  461127
  x10  696261
  x11  216408
  x12  83865
  x13  186598
  x14  916709
  x15  639616
  x16  253083
  x17  951407
  x18  428370
  x19  995845
  x20  95226
  x21  223806
  x22  954550
  x23  147949
  x24  909415
  x25  786749
  x26  706908
  x27  584748
  x28  439264
  x29  967937
  x30  708969
  x31  164389
  x32  795385
  x33  17897
  x34  127192
  x35  774881
  x36  249755
  x37  392514
  x38  329546
  x39  185811
  x40  121773
  x41  858526
  x42  45678
  x43  619053
  x44  668977
  x45  423059;
param cap := 11500000;
