data;
set WEIGHTS := x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33;
param:  cost :=
  x0  427
  x1  1
  x2  76
  x3  433
  x4  914
  x5  941
  x6  265
  x7  270
  x8  542
  x9  116
  x10  263
  x11  393
  x12  379
  x13  887
  x14  407
  x15  584
  x16  668
  x17  745
  x18  51
  x19  586
  x20  245
  x21  764
  x22  78
  x23  244
  x24  384
  x25  565
  x26  552
  x27  715
  x28  122
  x29  669
  x30  914
  x31  229
  x32  80
  x33  729;
param cap := 8501;
