data;
set WEIGHTS := x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37;
param:  cost :=
  x0  854
  x1  276
  x2  740
  x3  340
  x4  131
  x5  780
  x6  227
  x7  283
  x8  757
  x9  846
  x10  920
  x11  590
  x12  998
  x13  550
  x14  278
  x15  845
  x16  727
  x17  60
  x18  872
  x19  958
  x20  24
  x21  905
  x22  455
  x23  556
  x24  390
  x25  178
  x26  667
  x27  849
  x28  271
  x29  633
  x30  271
  x31  218
  x32  602
  x33  120
  x34  330
  x35  897
  x36  485
  x37  651;
param cap := 9501;
