data;
set WEIGHTS := x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31;
param:  cost :=
  x0  1056
  x1  1057
  x2  1058
  x3  1059
  x4  1060
  x5  1061
  x6  1062
  x7  1063
  x8  1064
  x9  1065
  x10  1066
  x11  1067
  x12  1068
  x13  1069
  x14  1070
  x15  1071
  x16  1072
  x17  1073
  x18  1074
  x19  1075
  x20  1076
  x21  1077
  x22  1078
  x23  1079
  x24  1080
  x25  1081
  x26  1082
  x27  1083
  x28  1084
  x29  1085
  x30  1086
  x31  1087;
param cap := 16864;
